longitude,latitude,population,ocean_proximity,cluster
-122.19,37.8,610.0,NEAR BAY,1
-122.19,37.8,768.0,NEAR BAY,1
-122.19,37.79,462.0,NEAR BAY,1
-122.2,37.79,667.0,NEAR BAY,1
-122.2,37.8,1059.0,NEAR BAY,1
-122.19,37.8,637.0,NEAR BAY,1
-122.19,37.79,1106.0,NEAR BAY,1
-122.19,37.79,1737.0,NEAR BAY,1
-122.2,37.79,1009.0,NEAR BAY,1
-122.2,37.79,737.0,NEAR BAY,1
-122.2,37.79,1354.0,NEAR BAY,1
-122.21,37.79,1530.0,NEAR BAY,1
-122.2,37.79,1410.0,NEAR BAY,1
-122.21,37.78,1390.0,NEAR BAY,1
-122.21,37.78,1065.0,NEAR BAY,1
-122.21,37.78,792.0,NEAR BAY,1
-122.21,37.78,779.0,NEAR BAY,1
-122.22,37.78,2269.0,NEAR BAY,1
-122.21,37.78,1227.0,NEAR BAY,1
-122.21,37.78,753.0,NEAR BAY,1
-122.22,37.77,547.0,NEAR BAY,1
-122.22,37.78,1807.0,NEAR BAY,1
-122.22,37.78,1700.0,NEAR BAY,1
-122.22,37.78,1543.0,NEAR BAY,1
-122.21,37.76,1085.0,NEAR BAY,1
-122.21,37.77,353.0,NEAR BAY,1
-122.21,37.77,473.0,NEAR BAY,1
-122.2,37.77,1621.0,NEAR BAY,1
-122.21,37.77,1183.0,NEAR BAY,1
-122.21,37.77,836.0,NEAR BAY,1
-122.19,37.77,900.0,NEAR BAY,1
-122.2,37.77,1888.0,NEAR BAY,1
-122.2,37.77,1024.0,NEAR BAY,1
-122.2,37.78,1225.0,NEAR BAY,1
-122.2,37.78,1071.0,NEAR BAY,1
-122.2,37.78,1128.0,NEAR BAY,1
-122.2,37.77,1537.0,NEAR BAY,1
-122.21,37.78,1240.0,NEAR BAY,1
-122.19,37.78,469.0,NEAR BAY,1
-122.19,37.77,1086.0,NEAR BAY,1
-122.19,37.77,1144.0,NEAR BAY,1
-122.19,37.78,1109.0,NEAR BAY,1
-122.19,37.78,984.0,NEAR BAY,1
-122.18,37.78,575.0,NEAR BAY,1
-122.19,37.78,496.0,NEAR BAY,1
-122.19,37.78,555.0,NEAR BAY,1
-122.2,37.78,869.0,NEAR BAY,1
-122.18,37.79,236.0,NEAR BAY,1
-122.18,37.79,626.0,NEAR BAY,1
-122.18,37.79,922.0,NEAR BAY,1
-122.19,37.79,582.0,NEAR BAY,1
-122.19,37.79,546.0,NEAR BAY,1
-122.18,37.81,620.0,NEAR BAY,1
-122.18,37.8,442.0,NEAR BAY,1
-122.18,37.8,955.0,NEAR BAY,1
-122.13,37.77,916.0,NEAR BAY,1
-122.16,37.79,4985.0,NEAR BAY,1
-122.17,37.78,651.0,NEAR BAY,1
-122.17,37.77,1704.0,NEAR BAY,1
-122.18,37.78,1085.0,NEAR BAY,1
-122.18,37.78,713.0,NEAR BAY,1
-122.17,37.78,468.0,NEAR BAY,1
-122.17,37.78,296.0,NEAR BAY,1
-122.16,37.77,570.0,NEAR BAY,1
-122.16,37.77,446.0,NEAR BAY,1
-122.16,37.77,968.0,NEAR BAY,1
-122.16,37.77,857.0,NEAR BAY,1
-122.17,37.77,912.0,NEAR BAY,1
-122.17,37.77,1360.0,NEAR BAY,1
-122.17,37.76,1074.0,NEAR BAY,1
-122.17,37.76,965.0,NEAR BAY,1
-122.18,37.76,933.0,NEAR BAY,1
-122.17,37.76,987.0,NEAR BAY,1
-122.18,37.76,907.0,NEAR BAY,1
-122.18,37.76,447.0,NEAR BAY,1
-122.18,37.76,1299.0,NEAR BAY,1
-122.18,37.77,396.0,NEAR BAY,1
-122.18,37.77,877.0,NEAR BAY,1
-122.18,37.76,1111.0,NEAR BAY,1
-122.19,37.76,790.0,NEAR BAY,1
-122.18,37.77,1479.0,NEAR BAY,1
-122.18,37.77,1173.0,NEAR BAY,1
-122.18,37.77,1029.0,NEAR BAY,1
-122.19,37.76,1030.0,NEAR BAY,1
-122.2,37.76,826.0,NEAR BAY,1
-122.19,37.77,1412.0,NEAR BAY,1
-122.19,37.77,1132.0,NEAR BAY,1
-122.19,37.76,522.0,NEAR BAY,1
-122.19,37.76,630.0,NEAR BAY,1
-122.2,37.75,531.0,NEAR BAY,1
-122.2,37.76,1925.0,NEAR BAY,1
-122.19,37.76,1144.0,NEAR BAY,1
-122.19,37.75,1481.0,NEAR BAY,1
-122.19,37.75,435.0,NEAR BAY,1
-122.19,37.76,984.0,NEAR BAY,1
-122.19,37.74,567.0,NEAR BAY,1
-122.18,37.74,380.0,NEAR BAY,1
-122.19,37.73,825.0,NEAR BAY,1
-122.19,37.74,417.0,NEAR BAY,1
-122.19,37.73,801.0,NEAR BAY,1
-122.18,37.73,646.0,NEAR BAY,1
-122.18,37.73,855.0,NEAR BAY,1
-122.18,37.73,435.0,NEAR BAY,1
-122.18,37.73,2736.0,NEAR BAY,1
-122.17,37.74,1481.0,NEAR BAY,1
-122.17,37.74,327.0,NEAR BAY,1
-122.17,37.74,494.0,NEAR BAY,1
-122.17,37.73,1231.0,NEAR BAY,1
-122.18,37.74,323.0,NEAR BAY,1
-122.17,37.74,749.0,NEAR BAY,1
-122.17,37.74,693.0,NEAR BAY,1
-122.18,37.74,1339.0,NEAR BAY,1
-122.18,37.75,282.0,NEAR BAY,1
-122.18,37.75,621.0,NEAR BAY,1
-122.17,37.75,732.0,NEAR BAY,1
-122.18,37.75,901.0,NEAR BAY,1
-122.19,37.75,482.0,NEAR BAY,1
-122.18,37.75,652.0,NEAR BAY,1
-122.18,37.75,651.0,NEAR BAY,1
-122.17,37.76,999.0,NEAR BAY,1
-122.17,37.75,907.0,NEAR BAY,1
-122.17,37.75,828.0,NEAR BAY,1
-122.17,37.75,763.0,NEAR BAY,1
-122.17,37.75,935.0,NEAR BAY,1
-122.16,37.76,1437.0,NEAR BAY,1
-122.16,37.75,1516.0,NEAR BAY,1
-122.17,37.75,597.0,NEAR BAY,1
-122.17,37.76,949.0,NEAR BAY,1
-122.16,37.76,881.0,NEAR BAY,1
-122.16,37.76,1438.0,NEAR BAY,1
-122.15,37.76,763.0,NEAR BAY,1
-122.14,37.77,1297.0,NEAR BAY,1
-122.14,37.76,545.0,NEAR BAY,1
-122.13,37.76,1222.0,NEAR BAY,1
-122.12,37.75,808.0,NEAR BAY,1
-122.12,37.75,329.0,NEAR BAY,1
-122.14,37.75,299.0,NEAR BAY,1
-122.14,37.75,579.0,NEAR BAY,1
-122.13,37.75,137.0,NEAR BAY,1
-122.13,37.75,229.0,NEAR BAY,1
-122.13,37.74,1476.0,NEAR BAY,1
-122.16,37.75,429.0,NEAR BAY,1
-122.15,37.75,849.0,NEAR BAY,1
-122.15,37.75,946.0,NEAR BAY,1
-122.15,37.74,571.0,NEAR BAY,1
-122.16,37.75,1137.0,NEAR BAY,1
-122.16,37.75,378.0,NEAR BAY,1
-122.15,37.74,853.0,NEAR BAY,1
-122.15,37.74,764.0,NEAR BAY,1
-122.16,37.75,928.0,NEAR BAY,1
-122.16,37.75,406.0,NEAR BAY,1
-122.17,37.74,824.0,NEAR BAY,1
-122.17,37.75,835.0,NEAR BAY,1
-122.16,37.74,826.0,NEAR BAY,1
-122.16,37.74,567.0,NEAR BAY,1
-122.16,37.74,355.0,NEAR BAY,1
-122.16,37.74,533.0,NEAR BAY,1
-122.16,37.74,609.0,NEAR BAY,1
-122.29,37.9,576.0,NEAR BAY,1
-122.29,37.9,594.0,NEAR BAY,1
-122.29,37.89,870.0,NEAR BAY,1
-122.3,37.9,1027.0,NEAR BAY,1
-122.29,37.89,693.0,NEAR BAY,1
-122.3,37.89,815.0,NEAR BAY,1
-122.3,37.9,2420.0,NEAR BAY,1
-122.3,37.89,518.0,NEAR BAY,1
-122.3,37.89,620.0,NEAR BAY,1
-122.33,37.89,551.0,NEAR BAY,1
-122.34,37.88,2556.0,NEAR BAY,1
-122.29,37.89,1498.0,NEAR BAY,1
-122.29,37.88,523.0,NEAR BAY,1
-122.29,37.89,374.0,NEAR BAY,1
-122.29,37.89,1004.0,NEAR BAY,1
-122.28,37.88,769.0,NEAR BAY,1
-122.29,37.89,940.0,NEAR BAY,1
-122.27,37.9,645.0,NEAR BAY,1
-122.26,37.9,705.0,NEAR BAY,1
-122.27,37.9,684.0,NEAR BAY,1
-122.27,37.9,572.0,NEAR BAY,1
-122.27,37.9,671.0,NEAR BAY,1
-122.27,37.89,975.0,NEAR BAY,1
-122.28,37.9,779.0,NEAR BAY,1
-122.28,37.9,658.0,NEAR BAY,1
-122.28,37.9,819.0,NEAR BAY,1
-122.28,37.89,412.0,NEAR BAY,1
-122.28,37.89,835.0,NEAR BAY,1
-122.28,37.89,722.0,NEAR BAY,1
-122.28,37.89,1085.0,NEAR BAY,1
-122.27,37.89,973.0,NEAR BAY,1
-122.27,37.89,723.0,NEAR BAY,1
-122.26,37.9,903.0,NEAR BAY,1
-122.25,37.89,356.0,NEAR BAY,1
-122.26,37.89,1005.0,NEAR BAY,1
-122.26,37.89,1205.0,NEAR BAY,1
-122.25,37.89,987.0,NEAR BAY,1
-122.25,37.89,1031.0,NEAR BAY,1
-122.26,37.88,894.0,NEAR BAY,1
-122.26,37.88,823.0,NEAR BAY,1
-122.27,37.88,1232.0,NEAR BAY,1
-122.27,37.88,669.0,NEAR BAY,1
-122.27,37.88,989.0,NEAR BAY,1
-122.28,37.88,1058.0,NEAR BAY,1
-122.28,37.88,506.0,NEAR BAY,1
-122.28,37.88,489.0,NEAR BAY,1
-122.29,37.88,824.0,NEAR BAY,1
-122.29,37.88,1034.0,NEAR BAY,1
-122.29,37.88,920.0,NEAR BAY,1
-122.29,37.88,841.0,NEAR BAY,1
-122.3,37.88,749.0,NEAR BAY,1
-122.3,37.88,208.0,NEAR BAY,1
-122.3,37.87,228.0,NEAR BAY,1
-122.3,37.86,287.0,NEAR BAY,1
-122.29,37.85,218.0,NEAR BAY,1
-122.3,37.88,854.0,NEAR BAY,1
-122.3,37.87,1695.0,NEAR BAY,1
-122.28,37.88,403.0,NEAR BAY,1
-122.28,37.87,288.0,NEAR BAY,1
-122.28,37.87,963.0,NEAR BAY,1
-122.29,37.87,1129.0,NEAR BAY,1
-122.29,37.87,386.0,NEAR BAY,1
-122.28,37.88,811.0,NEAR BAY,1
-122.28,37.87,1293.0,NEAR BAY,1
-122.28,37.87,805.0,NEAR BAY,1
-122.27,37.88,1372.0,NEAR BAY,1
-122.27,37.87,862.0,NEAR BAY,1
-122.27,37.88,1152.0,NEAR BAY,1
-122.26,37.88,483.0,NEAR BAY,1
-122.26,37.88,1558.0,NEAR BAY,1
-122.26,37.88,1798.0,NEAR BAY,1
-122.25,37.87,266.0,NEAR BAY,1
-122.25,37.87,2184.0,NEAR BAY,1
-122.25,37.87,2016.0,NEAR BAY,1
-122.25,37.87,1349.0,NEAR BAY,1
-122.26,37.87,3337.0,NEAR BAY,1
-122.26,37.87,1721.0,NEAR BAY,1
-122.27,37.87,1675.0,NEAR BAY,1
-122.27,37.87,707.0,NEAR BAY,1
-122.27,37.87,1424.0,NEAR BAY,1
-122.28,37.86,393.0,NEAR BAY,1
-122.28,37.87,828.0,NEAR BAY,1
-122.28,37.87,571.0,NEAR BAY,1
-122.29,37.87,1382.0,NEAR BAY,1
-122.29,37.87,792.0,NEAR BAY,1
-122.29,37.86,815.0,NEAR BAY,1
-122.28,37.86,788.0,NEAR BAY,1
-122.29,37.87,1145.0,NEAR BAY,1
-122.29,37.86,1354.0,NEAR BAY,1
-122.28,37.86,958.0,NEAR BAY,1
-122.28,37.86,1361.0,NEAR BAY,1
-122.28,37.85,1005.0,NEAR BAY,1
-122.27,37.86,924.0,NEAR BAY,1
-122.28,37.86,780.0,NEAR BAY,1
-122.28,37.86,1582.0,NEAR BAY,1
-122.28,37.86,1213.0,NEAR BAY,1
-122.27,37.86,486.0,NEAR BAY,1
-122.27,37.86,494.0,NEAR BAY,1
-122.27,37.86,849.0,NEAR BAY,1
-122.27,37.86,1127.0,NEAR BAY,1
-122.26,37.86,3276.0,NEAR BAY,1
-122.26,37.86,1493.0,NEAR BAY,1
-122.26,37.86,1461.0,NEAR BAY,1
-122.26,37.86,1253.0,NEAR BAY,1
-122.25,37.86,1656.0,NEAR BAY,1
-122.25,37.86,514.0,NEAR BAY,1
-122.25,37.86,719.0,NEAR BAY,1
-122.25,37.86,878.0,NEAR BAY,1
-122.24,37.86,517.0,NEAR BAY,1
-122.24,37.85,1366.0,NEAR BAY,1
-122.25,37.86,1316.0,NEAR BAY,1
-122.26,37.85,1508.0,NEAR BAY,1
-122.27,37.85,1800.0,NEAR BAY,1
-122.27,37.85,719.0,NEAR BAY,1
-122.27,37.85,675.0,NEAR BAY,1
-122.27,37.85,875.0,NEAR BAY,1
-122.27,37.85,152.0,NEAR BAY,1
-122.27,37.85,843.0,NEAR BAY,1
-122.28,37.85,281.0,NEAR BAY,1
-122.28,37.85,506.0,NEAR BAY,1
-122.28,37.85,1054.0,NEAR BAY,1
-122.29,37.84,1017.0,NEAR BAY,1
-122.28,37.83,1623.0,NEAR BAY,1
-122.3,37.84,3100.0,NEAR BAY,1
-122.23,37.83,947.0,NEAR BAY,1
-122.22,37.82,808.0,NEAR BAY,1
-122.22,37.82,1018.0,NEAR BAY,1
-122.23,37.82,1001.0,NEAR BAY,1
-122.23,37.82,1005.0,NEAR BAY,1
-122.23,37.82,1192.0,NEAR BAY,1
-122.24,37.83,585.0,NEAR BAY,1
-122.24,37.83,916.0,NEAR BAY,1
-122.23,37.82,556.0,NEAR BAY,1
-122.24,37.82,1470.0,NEAR BAY,1
-122.25,37.82,1104.0,NEAR BAY,1
-122.23,37.76,1242.0,NEAR BAY,1
-122.23,37.76,805.0,NEAR BAY,1
-122.23,37.76,378.0,NEAR BAY,1
-122.24,37.77,481.0,NEAR BAY,1
-122.23,37.77,409.0,NEAR BAY,1
-122.24,37.77,885.0,NEAR BAY,1
-122.25,37.77,1468.0,NEAR BAY,1
-122.25,37.77,482.0,NEAR BAY,1
-122.25,37.77,825.0,NEAR BAY,1
-122.25,37.77,429.0,NEAR BAY,1
-122.26,37.78,528.0,NEAR BAY,1
-122.26,37.78,496.0,NEAR BAY,1
-122.27,37.78,718.0,NEAR BAY,1
-122.27,37.78,630.0,NEAR BAY,1
-122.27,37.78,723.0,NEAR BAY,1
-122.27,37.78,959.0,NEAR BAY,1
-122.28,37.79,3668.0,NEAR BAY,1
-122.3,37.77,2037.0,NEAR BAY,1
-122.28,37.78,3741.0,NEAR BAY,1
-122.29,37.78,821.0,NEAR BAY,1
-122.28,37.77,870.0,NEAR BAY,1
-122.28,37.77,1901.0,NEAR BAY,1
-122.29,37.76,1243.0,NEAR BAY,1
-122.28,37.78,730.0,NEAR BAY,1
-122.26,37.77,793.0,NEAR BAY,1
-122.27,37.77,1033.0,NEAR BAY,1
-122.27,37.77,872.0,NEAR BAY,1
-122.27,37.77,849.0,NEAR BAY,1
-122.27,37.77,1121.0,NEAR BAY,1
-122.25,37.77,872.0,NEAR BAY,1
-122.26,37.77,637.0,NEAR BAY,1
-122.26,37.77,663.0,NEAR BAY,1
-122.26,37.77,411.0,NEAR BAY,1
-122.26,37.77,915.0,NEAR BAY,1
-122.26,37.77,921.0,NEAR BAY,1
-122.24,37.77,585.0,NEAR BAY,1
-122.25,37.77,2086.0,NEAR BAY,1
-122.23,37.76,1303.0,NEAR BAY,1
-122.23,37.76,374.0,NEAR BAY,1
-122.24,37.76,979.0,NEAR BAY,1
-122.24,37.76,827.0,NEAR BAY,1
-122.23,37.76,658.0,NEAR BAY,1
-122.23,37.75,654.0,NEAR BAY,1
-122.24,37.75,384.0,NEAR BAY,1
-122.24,37.75,1499.0,NEAR BAY,1
-122.24,37.76,1128.0,NEAR BAY,1
-122.24,37.76,1110.0,NEAR BAY,1
-122.24,37.76,1119.0,NEAR BAY,1
-122.24,37.73,2930.0,NEAR BAY,1
-122.25,37.74,897.0,NEAR BAY,1
-122.24,37.72,7427.0,NEAR BAY,1
-122.27,37.73,2973.0,NEAR BAY,1
-122.25,37.76,1340.0,NEAR BAY,1
-122.27,37.74,2974.0,NEAR BAY,1
-122.27,37.77,2690.0,NEAR BAY,1
-122.28,37.75,583.0,NEAR BAY,1
-122.06,37.77,5781.0,NEAR BAY,1
-122.06,37.73,1738.0,NEAR BAY,1
-122.06,37.71,1478.0,NEAR BAY,1
-122.07,37.71,746.0,NEAR BAY,1
-122.07,37.71,1235.0,NEAR BAY,1
-122.07,37.72,1411.0,NEAR BAY,1
-122.08,37.72,1368.0,NEAR BAY,1
-122.08,37.72,1048.0,NEAR BAY,1
-122.08,37.71,1004.0,NEAR BAY,1
-122.09,37.71,1086.0,NEAR BAY,1
-122.1,37.72,922.0,NEAR BAY,1
-122.11,37.71,1950.0,NEAR BAY,1
-122.1,37.7,1413.0,NEAR BAY,1
-122.1,37.69,1444.0,NEAR BAY,1
-122.09,37.71,749.0,NEAR BAY,1
-122.09,37.7,867.0,NEAR BAY,1
-122.1,37.71,2723.0,NEAR BAY,1
-122.09,37.7,731.0,NEAR BAY,1
-122.08,37.71,781.0,NEAR BAY,1
-122.08,37.71,1784.0,NEAR BAY,1
